Date,Open,High,Low,Close,Adj Close,Volume
10/1/2008,3.69,3.69,3.64,3.64,3.132356,29000
11/1/2008,3.65,3.66,3.64,3.64,3.132356,27000
14/1/2008,3.6,3.6,3.48,3.48,2.99467,79000
15/1/2008,3.47,3.47,3.38,3.39,2.917221,171000
16/1/2008,3.39,3.39,3.24,3.3,2.839773,173000
17/1/2008,3.4,3.4,3.23,3.37,2.900011,150000
18/1/2008,3.29,3.4,3.25,3.38,2.908616,147000
21/1/2008,3.43,3.43,3.17,3.33,2.865589,249000
22/1/2008,3.27,3.27,2.99,3.1,2.667665,575000
23/1/2008,3.15,3.31,3.1,3.25,2.796746,202000
24/1/2008,3.3,3.3,3.16,3.2,2.753719,101000
25/1/2008,3.28,3.3,3.25,3.3,2.839773,104000
28/1/2008,3.28,3.28,3.2,3.21,2.762325,57000
29/1/2008,3.22,3.22,3.2,3.22,2.77093,50000
30/1/2008,3.22,3.23,3.19,3.19,2.745114,70000
31/1/2008,3.22,3.22,3.17,3.18,2.736509,126000
1/2/2008,3.28,3.28,3.15,3.19,2.745114,138000
4/2/2008,3.26,3.26,3.2,3.23,2.779535,59000
5/2/2008,3.24,3.24,3.2,3.23,2.779535,79000
6/2/2008,3.19,3.19,3.09,3.09,2.65906,189000
11/2/2008,3.13,3.13,3.02,3.08,2.650455,176000
12/2/2008,3.09,3.15,3.05,3.12,2.684877,80000
13/2/2008,3.16,3.16,3.12,3.12,2.684877,58000
14/2/2008,3.15,3.2,3.15,3.19,2.745114,29000
15/2/2008,3.17,3.2,3.17,3.2,2.753719,32000
18/2/2008,3.21,3.24,3.2,3.2,2.753719,35000
19/2/2008,3.23,3.23,3.17,3.17,2.727904,107000
20/2/2008,3.15,3.24,3.15,3.16,2.719298,68000
21/2/2008,3.21,3.21,3.17,3.17,2.727904,76000
22/2/2008,3.17,3.22,3.13,3.2,2.753719,46000
25/2/2008,3.21,3.21,3.13,3.18,2.736509,47000
26/2/2008,3.23,3.23,3.19,3.19,2.745114,11000
27/2/2008,3.2,3.23,3.2,3.23,2.779535,94000
28/2/2008,3.2,3.2,3.19,3.2,2.753719,18000
29/2/2008,3.16,3.16,3.1,3.12,2.684877,151000
3/3/2008,3.08,3.08,3.06,3.06,2.633244,165000
4/3/2008,3.06,3.08,3.04,3.05,2.624639,275000
5/3/2008,3.06,3.06,3.04,3.05,2.624639,107000
6/3/2008,3.14,3.14,3.05,3.12,2.684877,109000
7/3/2008,3.05,3.05,3.01,3.02,2.598822,198000
10/3/2008,3.03,3.04,2.96,2.96,2.547191,277000
11/3/2008,2.95,3,2.95,2.99,2.573007,253000
12/3/2008,3.1,3.2,3,3.02,2.598822,158000
13/3/2008,3.02,3.02,2.9,2.95,2.538585,323000
14/3/2008,2.96,2.97,2.94,2.94,2.52998,218000
17/3/2008,2.91,2.92,2.88,2.91,2.504164,200000
18/3/2008,2.92,2.96,2.89,2.92,2.512769,185000
19/3/2008,2.99,3,2.95,2.95,2.538585,112000
20/3/2008,2.95,2.95,2.91,2.92,2.512769,158000
24/3/2008,2.96,3.01,2.96,3.01,2.590217,104000
25/3/2008,3.05,3.11,3.05,3.11,2.676271,135000
26/3/2008,3.11,3.11,3.08,3.08,2.650455,166000
27/3/2008,3.08,3.13,3.07,3.13,2.693482,84000
28/3/2008,3.11,3.15,3.1,3.15,2.710692,117000
31/3/2008,3.15,3.15,3.09,3.13,2.693482,129000
1/4/2008,3.13,3.13,3.03,3.03,2.607428,45000
2/4/2008,3.16,3.18,3.12,3.12,2.684877,44000
3/4/2008,3.13,3.19,3.13,3.19,2.745114,90000
4/4/2008,3.22,3.22,3.17,3.19,2.745114,26000
7/4/2008,3.18,3.18,3.13,3.13,2.693482,47000
8/4/2008,3.16,3.16,3.11,3.11,2.676271,27000
9/4/2008,3.12,3.15,3.11,3.14,2.702087,300000
10/4/2008,3.13,3.13,3.08,3.08,2.650455,28000
11/4/2008,3.12,3.13,3.12,3.12,2.684877,14000
14/4/2008,3.08,3.12,3.08,3.09,2.65906,41000
15/4/2008,3.11,3.11,3.08,3.08,2.650455,86000
16/4/2008,3.1,3.11,3.1,3.11,2.676271,19000
17/4/2008,3.12,3.16,3.12,3.14,2.702087,63000
18/4/2008,3.14,3.15,3.12,3.12,2.684877,29000
21/4/2008,3.16,3.21,3.16,3.18,2.736509,59000
22/4/2008,3.17,3.21,3.17,3.21,2.762325,26000
23/4/2008,3.2,3.25,3.2,3.24,2.788141,114000
24/4/2008,3.24,3.24,3.22,3.22,2.77093,110000
25/4/2008,3.22,3.22,3.22,3.22,2.77093,16000
28/4/2008,3.25,3.28,3.24,3.26,2.805352,90000
29/4/2008,3.28,3.28,3.22,3.23,2.779535,164000
30/4/2008,3.23,3.23,3.22,3.22,2.77093,23000
2/5/2008,3.26,3.29,3.26,3.27,2.813957,72000
5/5/2008,3.3,3.33,3.29,3.3,2.839773,91000
6/5/2008,3.3,3.3,3.28,3.3,2.839773,51000
7/5/2008,3.3,3.3,3.27,3.28,2.822562,88000
8/5/2008,3.28,3.28,3.25,3.25,2.796746,43000
9/5/2008,3.3,3.3,3.23,3.26,2.805352,88000
