Date,Open,High,Low,Close,Adj Close,Volume
3/1/2000,0.86,0.945,0.86,0.945,0.411976,246000
4/1/2000,0.91,0.945,0.88,0.93,0.405437,149000
5/1/2000,0.85,0.9,0.85,0.85,0.370561,157000
6/1/2000,0.855,0.86,0.845,0.845,0.368381,165000
7/1/2000,0.85,0.87,0.85,0.86,0.37492,182000
10/1/2000,0.87,0.875,0.84,0.85,0.370561,161000
11/1/2000,0.83,0.86,0.83,0.85,0.370561,176000
12/1/2000,0.86,0.87,0.85,0.85,0.370561,214000
13/1/2000,0.86,0.86,0.845,0.845,0.368381,74000
14/1/2000,0.865,0.94,0.865,0.93,0.405437,2927000
17/1/2000,0.94,0.94,0.89,0.89,0.387999,164000
18/1/2000,0.88,0.88,0.86,0.86,0.37492,43000
19/1/2000,0.86,0.86,0.835,0.84,0.366201,71000
20/1/2000,0.845,0.855,0.84,0.84,0.366201,107000
21/1/2000,0.835,0.835,0.825,0.825,0.359662,45000
24/1/2000,0.82,0.82,0.8,0.8,0.348763,207000
25/1/2000,0.8,0.81,0.79,0.8,0.348763,105000
26/1/2000,0.805,0.805,0.805,0.805,0.350943,15000
27/1/2000,0.81,0.82,0.81,0.81,0.353123,26000
28/1/2000,0.81,0.81,0.81,0.81,0.353123,21000
31/1/2000,0.805,0.805,0.8,0.8,0.348763,25000
1/2/2000,0.8,0.8,0.79,0.79,0.344403,48000
2/2/2000,0.81,0.81,0.8,0.8,0.348763,18000
3/2/2000,0.805,0.81,0.805,0.81,0.353123,7000
4/2/2000,0.83,0.83,0.805,0.805,0.350943,0
7/2/2000,0.805,0.805,0.805,0.805,0.350943,0
8/2/2000,0.81,0.81,0.81,0.81,0.353123,22000
9/2/2000,0.83,0.835,0.8,0.8,0.348763,30000
10/2/2000,0.79,0.79,0.79,0.79,0.344403,1000
11/2/2000,0.81,0.82,0.8,0.81,0.353123,20000
14/2/2000,0.79,0.79,0.79,0.79,0.344403,13000
15/2/2000,0.81,0.83,0.81,0.81,0.353123,102000
16/2/2000,0.8,0.805,0.8,0.8,0.348763,15000
17/2/2000,0.8,0.825,0.8,0.81,0.353123,69000
18/2/2000,0.815,0.82,0.81,0.81,0.353123,50000
21/2/2000,0.79,0.8,0.79,0.795,0.346583,49000
22/2/2000,0.81,0.81,0.77,0.775,0.337864,44000
23/2/2000,0.775,0.785,0.775,0.78,0.340044,18000
24/2/2000,0.78,0.78,0.77,0.77,0.335684,34000
25/2/2000,0.8,0.8,0.8,0.8,0.348763,2000
28/2/2000,0.8,0.8,0.765,0.775,0.337864,99000
29/2/2000,0.785,0.785,0.775,0.785,0.342224,34000
1/3/2000,0.785,0.8,0.77,0.8,0.348763,75000
2/3/2000,0.78,0.8,0.78,0.78,0.340044,15000
3/3/2000,0.77,0.77,0.77,0.77,0.335684,11000
6/3/2000,0.78,0.785,0.78,0.78,0.340044,18000
