Date,Open,High,Low,Close,Adj Close,Volume
5/11/2004,2.38,2.39,2.33,2.36,1.41065,357380000
8/11/2004,2.37,2.37,2.3,2.3,1.374786,28771000
9/11/2004,2.33,2.34,2.3,2.32,1.386741,26134000
10/11/2004,2.33,2.35,2.33,2.34,1.398696,14558000
11/11/2004,null,null,null,null,null,null
12/11/2004,2.36,2.39,2.36,2.39,1.428582,24661000
15/11/2004,null,null,null,null,null,null
16/11/2004,2.4,2.4,2.36,2.37,1.416628,13418000
17/11/2004,2.38,2.4,2.37,2.39,1.428582,16894000
18/11/2004,2.38,2.39,2.33,2.34,1.398696,23005000
19/11/2004,2.35,2.35,2.33,2.33,1.392718,10229000
22/11/2004,2.32,2.33,2.3,2.32,1.386741,22710000
23/11/2004,2.34,2.38,2.33,2.38,1.422605,25368000
24/11/2004,2.39,2.41,2.37,2.4,1.43456,32021000
25/11/2004,2.39,2.41,2.35,2.35,1.404673,19290000
26/11/2004,2.37,2.37,2.34,2.36,1.41065,5415000
29/11/2004,2.36,2.37,2.34,2.36,1.41065,11100000
30/11/2004,2.37,2.38,2.34,2.37,1.416628,36403000
1/12/2004,2.37,2.39,2.36,2.39,1.428582,26000000
2/12/2004,2.39,2.4,2.38,2.39,1.428582,13834000
3/12/2004,2.38,2.39,2.35,2.39,1.428582,19935000
6/12/2004,2.39,2.39,2.33,2.33,1.392718,11085000
7/12/2004,2.34,2.37,2.34,2.34,1.398696,18005000
8/12/2004,2.35,2.39,2.35,2.36,1.41065,20924000
9/12/2004,2.36,2.38,2.34,2.34,1.398696,16595000
10/12/2004,2.36,2.39,2.35,2.36,1.41065,18034000
13/12/2004,2.38,2.39,2.36,2.39,1.428582,15761000
14/12/2004,2.39,2.42,2.39,2.42,1.446514,19352000
15/12/2004,2.42,2.42,2.39,2.42,1.446514,18324000
16/12/2004,2.42,2.42,2.38,2.38,1.422605,13396000
17/12/2004,2.38,2.4,2.37,2.4,1.43456,14120000
20/12/2004,2.4,2.4,2.37,2.4,1.43456,11287000
21/12/2004,2.4,2.42,2.39,2.42,1.446514,13863000
22/12/2004,2.43,2.43,2.38,2.38,1.422605,14200000
23/12/2004,2.38,2.39,2.36,2.38,1.422605,9592000
24/12/2004,2.39,2.39,2.38,2.39,1.428582,4370000
27/12/2004,2.37,2.39,2.36,2.37,1.416628,6682000
28/12/2004,2.38,2.39,2.36,2.37,1.416628,7975000
29/12/2004,2.37,2.39,2.36,2.36,1.41065,9528000
30/12/2004,2.37,2.38,2.35,2.37,1.416628,9690000
31/12/2004,2.37,2.38,2.36,2.38,1.422605,4105000
3/1/2005,2.37,2.39,2.36,2.37,1.416628,7910000
4/1/2005,2.37,2.38,2.36,2.37,1.416628,6622000
5/1/2005,2.38,2.4,2.37,2.38,1.422605,15632000
6/1/2005,2.38,2.4,2.37,2.4,1.43456,11791000
7/1/2005,2.39,2.4,2.37,2.37,1.416628,5128000
10/1/2005,2.37,2.38,2.36,2.36,1.41065,7163000
11/1/2005,2.38,2.41,2.37,2.41,1.440537,22325000
12/1/2005,2.39,2.4,2.38,2.4,1.43456,13069000
