,Date,Fresh,P.close,New Units,Carry-over,Total Units,Avg Cost,RSP_unit_delta,RSP_curr_val
0,18/1/2008,1000,3.38,200,324.0,200,5.0,-1.62,676.0
1,18/2/2008,1324.0,3.2,400,44.0,600,4.413,-1.21,1920.0
2,18/3/2008,1044.0,2.92,300,168.0,900,3.48,-0.56,2628.0
3,18/4/2008,1168.0,3.12,300,232.0,1200,3.893,-0.77,3744.0
4,20/5/2008,1232.0,3.35,300,227.0,1500,4.107,-0.76,5025.0
5,18/6/2008,1227.0,3.15,300,282.0,1800,4.09,-0.94,5670.0
6,18/7/2008,1282.0,2.96,400,98.0,2200,4.079,-1.12,6512.0
7,18/8/2008,1098.0,2.82,300,252.0,2500,3.514,-0.69,7050.0
8,18/9/2008,1252.0,2.5,500,2.0,3000,3.756,-1.26,7500.0
9,20/10/2008,1002.0,2.05,400,182.0,3400,2.947,-0.9,6970.0
10,18/11/2008,1182.0,1.78,600,114.0,4000,3.25,-1.47,7120.0
11,18/12/2008,1114.0,1.86,500,184.0,4500,2.971,-1.11,8370.0
12,19/1/2009,1184.0,1.85,600,74.0,5100,3.018,-1.17,9435.0
13,18/2/2009,1074.0,1.69,600,60.0,5700,2.638,-0.95,9633.0
14,18/3/2009,1060.0,1.6,600,100.0,6300,2.524,-0.92,10080.0
15,20/4/2009,1100.0,1.89,500,155.0,6800,2.588,-0.7,12852.0
16,18/5/2009,1155.0,2.21,500,50.0,7300,2.69,-0.48,16133.0
17,18/6/2009,1050.0,2.29,400,134.0,7700,2.455,-0.17,17633.0
18,20/7/2009,1134.0,2.53,400,122.0,8100,2.66,-0.13,20493.0
19,18/8/2009,1122.0,2.6,400,82.0,8500,2.64,-0.04,22100.0
20,18/9/2009,1082.0,2.7,400,2.0,8900,2.553,0.15,24030.0
21,19/10/2009,1002.0,2.79,300,165.0,9200,2.396,0.39,25668.0
22,18/11/2009,1165.0,2.81,400,41.0,9600,2.791,0.02,26976.0
23,18/12/2009,1041.0,2.88,300,177.0,9900,2.524,0.36,28512.0
24,18/1/2010,1177.0,2.98,300,283.0,10200,2.885,0.1,30396.0
25,18/2/2010,1283.0,2.81,400,159.0,10600,3.147,-0.34,29786.0
26,18/3/2010,1159.0,2.93,300,280.0,10900,2.871,0.06,31937.0
27,19/4/2010,1280.0,2.98,400,88.0,11300,3.172,-0.19,33674.0
28,18/5/2010,1088.0,2.91,300,215.0,11600,2.72,0.19,33756.0
29,18/6/2010,1215.0,2.94,400,39.0,12000,3.038,-0.1,35280.0
30,19/7/2010,1039.0,3.01,300,136.0,12300,2.619,0.39,37023.0
31,18/8/2010,1136.0,2.95,300,251.0,12600,2.885,0.07,37170.0
32,20/9/2010,1251.0,3.12,400,3.0,13000,3.176,-0.06,40560.0
33,18/10/2010,1003.0,3.23,300,34.0,13300,2.564,0.67,42959.0
34,18/11/2010,1034.0,3.27,300,53.0,13600,2.661,0.61,44472.0
35,20/12/2010,1053.0,3.21,300,90.0,13900,2.727,0.48,44619.0
36,18/1/2011,1090.0,3.31,300,97.0,14200,2.84,0.47,47002.0
37,18/2/2011,1097.0,3.16,300,149.0,14500,2.875,0.29,45820.0
38,18/3/2011,1149.0,2.98,300,255.0,14800,3.028,-0.05,44104.0
39,18/4/2011,1255.0,3.23,300,286.0,15100,3.325,-0.1,48773.0
40,18/5/2011,1286.0,3.21,400,2.0,15500,3.402,-0.19,49755.0
41,20/6/2011,1002.0,3.09,300,75.0,15800,2.664,0.43,48822.0
42,18/7/2011,1075.0,3.16,300,127.0,16100,2.871,0.29,50876.0
43,18/8/2011,1127.0,2.88,300,263.0,16400,3.024,-0.14,47232.0
44,19/9/2011,1263.0,2.82,400,135.0,16800,3.383,-0.56,47376.0
45,18/10/2011,1135.0,2.78,400,23.0,17200,3.035,-0.26,47816.0
46,18/11/2011,1023.0,2.8,300,183.0,17500,2.747,0.05,49000.0
47,19/12/2011,1183.0,2.69,400,107.0,17900,3.172,-0.48,48151.0
48,18/1/2012,1107.0,2.88,300,243.0,18200,2.98,-0.1,52416.0
49,20/2/2012,1243.0,3.03,400,31.0,18600,3.341,-0.31,56358.0
50,19/3/2012,1031.0,3.01,300,128.0,18900,2.782,0.23,56889.0
51,18/4/2012,1128.0,3.03,300,219.0,19200,3.055,-0.03,58176.0
52,18/5/2012,1219.0,2.85,400,79.0,19600,3.296,-0.45,55860.0
53,18/6/2012,1079.0,2.88,300,215.0,19900,2.928,-0.05,57312.0
54,18/7/2012,1215.0,3.06,300,297.0,20200,3.308,-0.25,61812.0
55,21/8/2012,1297.0,3.12,400,49.0,20600,3.526,-0.41,64272.0
56,18/9/2012,1049.0,3.12,300,113.0,20900,2.861,0.26,65208.0
57,18/10/2012,1113.0,3.11,300,180.0,21200,3.045,0.06,65932.0
58,19/11/2012,1180.0,3.0,300,280.0,21500,3.238,-0.24,64500.0
59,18/12/2012,1280.0,3.22,300,314.0,21800,3.523,-0.3,70196.0
60,18/1/2013,1314.0,3.26,400,10.0,22200,3.611,-0.35,72372.0
61,18/2/2013,1010.0,3.3,300,20.0,22500,2.783,0.52,74250.0
62,18/3/2013,1020.0,3.28,300,36.0,22800,2.818,0.46,74784.0
63,18/4/2013,1036.0,3.33,300,37.0,23100,2.87,0.46,76923.0
64,20/5/2013,1037.0,3.49,200,339.0,23300,2.893,0.6,81317.0
65,18/6/2013,1339.0,3.28,400,27.0,23700,3.729,-0.45,77736.0
66,18/7/2013,1027.0,3.28,300,43.0,24000,2.867,0.41,78720.0
67,19/8/2013,1043.0,3.19,300,86.0,24300,2.919,0.27,77517.0
68,18/9/2013,1086.0,3.28,300,102.0,24600,3.046,0.23,80688.0
69,18/10/2013,1102.0,3.24,300,130.0,24900,3.098,0.14,80676.0
70,18/11/2013,1130.0,3.26,300,152.0,25200,3.184,0.08,82152.0
71,18/12/2013,1152.0,3.11,300,219.0,25500,3.253,-0.14,79305.0
72,20/1/2014,1219.0,3.18,300,265.0,25800,3.449,-0.27,82044.0
73,18/2/2014,1265.0,3.09,400,29.0,26200,3.573,-0.48,80958.0
74,18/3/2014,1029.0,3.08,300,105.0,26500,2.912,0.17,81620.0
75,21/4/2014,1105.0,3.26,300,127.0,26800,3.134,0.13,87368.0
76,19/5/2014,1127.0,3.31,300,134.0,27100,3.202,0.11,89701.0
77,18/6/2014,1134.0,3.32,300,138.0,27400,3.228,0.09,90968.0
78,18/7/2014,1138.0,3.35,300,133.0,27700,3.246,0.1,92795.0
79,18/8/2014,1133.0,3.34,300,131.0,28000,3.237,0.1,93520.0
