,Date,Fresh,P.close,New Units,Carry-over,Total Units,Avg Cost,RSP_unit_delta,RSP_curr_val
0,18/1/2000,1000,0.86,1100,54.0,1100,0.909,-0.05,946.0
1,18/2/2000,1054.0,0.81,1300,1.0,2400,0.878,-0.07,1944.0
2,20/3/2000,1001.0,0.705,1400,14.0,3800,0.79,-0.09,2679.0
3,18/4/2000,1014.0,0.675,1500,1.5,5300,0.765,-0.09,3577.5
4,18/5/2000,1001.5,0.69,1400,35.5,6700,0.747,-0.06,4623.0
5,19/6/2000,1035.5,0.6,1700,15.5,8400,0.74,-0.14,5040.0
6,18/7/2000,1015.5,0.585,1700,21.0,10100,0.704,-0.12,5908.5
7,18/8/2000,1021.0,0.585,1700,26.5,11800,0.692,-0.11,6903.0
8,18/9/2000,1026.5,0.58,1700,40.5,13500,0.684,-0.1,7830.0
9,18/10/2000,1040.5,0.57,1800,14.5,15300,0.68,-0.11,8721.0
10,20/11/2000,1014.5,0.47,2100,27.5,17400,0.641,-0.17,8178.0
11,18/12/2000,1027.5,0.465,2200,4.5,19600,0.629,-0.16,9114.0
12,18/1/2001,1004.5,0.46,2100,38.5,21700,0.602,-0.14,9982.0
13,19/2/2001,1038.5,0.5,2000,38.5,23700,0.613,-0.11,11850.0
14,19/3/2001,1038.5,0.47,2200,4.5,25900,0.601,-0.13,12173.0
15,18/4/2001,1004.5,0.43,2300,15.5,28200,0.57,-0.14,12126.0
16,18/5/2001,1015.5,0.475,2100,18.0,30300,0.57,-0.09,14392.5
17,18/6/2001,1018.0,0.45,2200,28.0,32500,0.564,-0.11,14625.0
18,18/7/2001,1028.0,0.46,2200,16.0,34700,0.563,-0.1,15962.0
19,20/8/2001,1016.0,0.48,2100,8.0,36800,0.552,-0.07,17664.0
20,18/9/2001,1008.0,0.43,2300,19.0,39100,0.541,-0.11,16813.0
21,18/10/2001,1019.0,0.435,2300,18.5,41400,0.541,-0.11,18009.0
22,19/11/2001,1018.5,0.43,2300,29.5,43700,0.536,-0.11,18791.0
23,18/12/2001,1029.5,0.48,2100,21.5,45800,0.539,-0.06,21984.0
24,18/1/2002,1021.5,0.48,2100,13.5,47900,0.533,-0.05,22992.0
25,18/2/2002,1013.5,0.5,2000,13.5,49900,0.528,-0.03,24950.0
26,18/3/2002,1013.5,0.595,1700,2.0,51600,0.53,0.06,30702.0
27,18/4/2002,1002.0,0.79,1200,54.0,52800,0.531,0.26,41712.0
28,20/5/2002,1054.0,0.78,1300,40.0,54100,0.565,0.22,42198.0
29,18/6/2002,1040.0,0.76,1300,52.0,55400,0.563,0.2,42104.0
30,18/7/2002,1052.0,0.735,1400,23.0,56800,0.574,0.16,41748.0
31,19/8/2002,1023.0,0.685,1400,64.0,58200,0.562,0.12,39867.0
32,18/9/2002,1064.0,0.635,1600,48.0,59800,0.587,0.05,37973.0
33,18/10/2002,1048.0,0.6,1700,28.0,61500,0.579,0.02,36900.0
34,18/11/2002,1028.0,0.555,1800,29.0,63300,0.568,-0.01,35131.5
35,18/12/2002,1029.0,0.485,2100,10.5,65400,0.566,-0.08,31719.0
36,20/1/2003,1010.5,0.49,2000,30.5,67400,0.555,-0.07,33026.0
37,18/2/2003,1030.5,0.49,2100,1.5,69500,0.563,-0.07,34055.0
38,18/3/2003,1001.5,0.455,2200,0.5,71700,0.545,-0.09,32623.5
39,18/4/2003,1000.5,0.46,2100,34.5,73800,0.542,-0.08,33948.0
40,19/5/2003,1034.5,0.49,2100,5.5,75900,0.559,-0.07,37191.0
41,18/6/2003,1005.5,0.51,1900,36.5,77800,0.543,-0.03,39678.0
42,18/7/2003,1036.5,0.54,1900,10.5,79700,0.559,-0.02,43038.0
43,18/8/2003,1010.5,0.53,1900,3.5,81600,0.545,-0.02,43248.0
44,18/9/2003,1003.5,0.57,1700,34.5,83300,0.542,0.03,47481.0
45,20/10/2003,1034.5,0.595,1700,23.0,85000,0.56,0.03,50575.0
46,18/11/2003,1023.0,0.56,1800,15.0,86800,0.554,0.01,48608.0
47,18/12/2003,1015.0,0.53,1900,8.0,88700,0.549,-0.02,47011.0
48,19/1/2004,1008.0,0.55,1800,18.0,90500,0.546,0.0,49775.0
49,18/2/2004,1018.0,0.57,1700,49.0,92200,0.552,0.02,52554.0
50,18/3/2004,1049.0,0.525,1900,51.5,94100,0.569,-0.04,49402.5
51,19/4/2004,1051.5,0.555,1800,52.5,95900,0.57,-0.01,53224.5
52,18/5/2004,1052.5,0.515,2000,22.5,97900,0.57,-0.05,50418.5
53,18/6/2004,1022.5,0.525,1900,25.0,99800,0.553,-0.03,52395.0
54,19/7/2004,1025.0,0.53,1900,18.0,101700,0.554,-0.02,53901.0
55,18/8/2004,1018.0,0.525,1900,20.5,103600,0.55,-0.03,54390.0
56,20/9/2004,1020.5,0.525,1900,23.0,105500,0.551,-0.03,55387.5
57,18/10/2004,1023.0,0.525,1900,25.5,107400,0.552,-0.03,56385.0
58,18/11/2004,1025.5,0.475,2100,28.0,109500,0.553,-0.08,52012.5
59,20/12/2004,1028.0,0.455,2200,27.0,111700,0.552,-0.1,50823.5
60,18/1/2005,1027.0,0.495,2000,37.0,113700,0.551,-0.06,56281.5
61,18/2/2005,1037.0,0.51,2000,17.0,115700,0.556,-0.05,59007.0
62,18/3/2005,1017.0,0.515,1900,38.5,117600,0.545,-0.03,60564.0
63,18/4/2005,1038.5,0.525,1900,41.0,119500,0.556,-0.03,62737.5
64,18/5/2005,1041.0,0.51,2000,21.0,121500,0.557,-0.05,61965.0
65,20/6/2005,1021.0,0.52,1900,33.0,123400,0.546,-0.03,64168.0
66,18/7/2005,1033.0,0.53,1900,26.0,125300,0.552,-0.02,66409.0
67,18/8/2005,1026.0,0.5,2000,26.0,127300,0.548,-0.05,63650.0
68,19/9/2005,1026.0,0.5,2000,26.0,129300,0.548,-0.05,64650.0
69,18/10/2005,1026.0,0.5,2000,26.0,131300,0.547,-0.05,65650.0
70,18/11/2005,1026.0,0.48,2100,18.0,133400,0.546,-0.07,64032.0
71,19/12/2005,1018.0,0.48,2100,10.0,135500,0.541,-0.06,65040.0
72,18/1/2006,1010.0,0.52,1900,22.0,137400,0.537,-0.02,71448.0
73,20/2/2006,1022.0,0.535,1900,5.5,139300,0.543,-0.01,74525.5
